iter	Passed	Remaining
0	1	185
1	3	174
2	4	159
3	6	146
4	7	144
5	8	140
6	10	138
7	11	136
8	13	134
9	14	132
10	16	131
11	17	130
12	19	129
13	20	128
14	22	127
15	24	126
16	25	124
17	26	122
18	28	121
19	30	120
20	31	119
21	33	117
22	34	116
23	36	114
24	37	112
25	39	111
26	40	110
27	42	108
28	43	107
29	45	105
30	46	104
31	48	102
32	49	100
33	51	99
34	52	97
35	54	96
36	55	94
37	57	93
38	58	92
39	60	90
40	61	88
41	62	86
42	63	84
43	65	83
44	66	81
45	68	79
46	69	78
47	71	77
48	72	75
49	74	74
50	75	72
51	76	70
52	78	69
53	79	68
54	80	66
55	82	64
56	83	63
57	85	61
58	86	60
59	88	58
60	89	57
61	91	55
62	92	54
63	94	52
64	95	51
65	97	49
66	98	48
67	100	47
68	101	45
69	102	44
70	104	42
71	105	41
72	107	39
73	108	38
74	110	36
75	111	35
76	113	33
77	114	32
78	116	30
79	117	29
80	119	27
81	120	26
82	121	24
83	123	23
84	124	22
85	126	20
86	128	19
87	129	17
88	131	16
89	132	14
90	133	13
91	135	11
92	137	10
93	138	8
94	139	7
95	141	5
96	142	4
97	144	2
98	145	1
99	147	0
